,NU,PU,PM,PS,SS,Attentional,Motor,Nonplanning,discount_logk,auc,std_wtw,auc_delta,alpha,alphaU,tau,gamma,eta
165,36.0,35.0,14.5,14.5,17.0,11.5,20.5,24.5,-3.2244365683214955,9.081880202185246,1.9803232178413115,0.7235974605544642,0.0076793739753077,0.0006592807928875,4.41907453557944,0.88917854739277,1.49602961360825
166,13.0,14.0,15.5,11.0,16.5,12.5,14.5,17.5,-7.214435896561626,8.251227146241526,1.9547462477243052,2.8697917057856412,0.0142883469933147,0.00224060248275485,7.498826600538525,0.8744207275964551,1.068325973577745
167,13.0,15.5,15.0,10.5,22.0,10.0,15.5,20.0,-2.2927382934853906,9.977945496322972,1.8118372553468602,0.3145253379969857,0.00686792357415205,0.00165301005527045,6.82772483739233,0.945417652425192,2.866252867146115
168,14.5,14.0,21.0,13.5,26.5,10.0,20.5,23.0,-4.473561434846173,5.003657772321261,3.2022604287850713,5.2083637348905825,0.045721606710815446,0.0213524610181958,4.5832249006593795,0.8826920210282845,1.8346383509429098
169,32.5,37.5,22.0,21.5,22.5,17.5,18.5,29.0,-5.996851436049532,8.97067194727899,2.111506845141971,2.0430460653970064,0.006396624722004651,0.00238508184574305,5.55741171214898,0.777516871680692,1.606251338061045
170,28.0,42.5,16.0,10.0,42.5,13.0,17.0,18.5,-4.303190822588739,4.131665246924639,1.4715376318293465,1.830131812045983,0.015759779492960847,0.00044547247631109997,4.383881642544015,0.8530091043079431,0.6593932334867469
171,28.5,36.5,27.5,26.0,31.0,14.0,23.0,27.0,-6.305235023588843,6.625035355461871,2.669054180372746,0.807770378491842,0.00784136705913285,0.0034090261920355,4.527970800420105,0.9045955957691365,1.5438360717911048
172,20.5,15.5,22.5,20.5,25.0,15.5,23.5,29.5,-6.603643783182902,5.942353604135763,2.4599120290439993,3.8371280933511285,0.0302635575757207,0.01250247960485645,5.2110750495675955,0.8591145171556991,0.8919932576126555
173,32.0,23.5,13.5,17.5,15.0,17.0,23.5,26.0,-3.512137479718735,8.764746183127839,1.5922458821799648,2.8682444070720035,0.0148253948186984,0.00200790103473625,7.895343448716716,0.8411494050401169,1.0134124739434704
174,31.0,21.5,15.0,11.0,26.0,13.0,22.0,18.5,-5.53945605851051,7.336883656996184,1.7747921165613672,2.871159998602444,0.025163973683342153,0.0029277156134954,7.37315846894911,0.7725472960204021,0.7608643225580395
175,14.5,20.5,16.0,12.0,16.0,9.0,18.0,21.0,-1.7281882695135162,6.3279771679931445,2.6208082599184266,0.6852945367851753,0.0026781206181399,0.0029455963676363,4.107493643717915,0.7679219845508696,1.40955106107115
176,21.5,23.5,15.0,18.5,27.0,14.0,24.0,25.5,-3.5193997142327715,7.807334743113867,2.1504385204627536,3.7620200074352352,0.0267692260818045,0.00232335975442405,7.034745201346765,0.847105877935777,0.9616956318470765
177,33.0,39.5,23.5,26.5,34.0,17.5,28.0,24.0,-2.141146867284877,9.848711838028017,2.906718282723507,1.4965376486363713,0.0070774298368885494,0.007395860630142,5.83048761970261,0.8609056065825544,2.109258596417765
178,25.0,30.5,17.5,19.5,30.0,13.5,18.5,25.0,-8.751473627018223,5.361131204702669,0.9795919289426992,-0.44356295513760413,0.0009353016284569,0.0007300888006411,7.811129452655945,0.8184955415736406,0.557927357050922
179,39.0,43.0,25.0,35.0,16.5,16.5,22.5,34.5,-3.8353926298836227,5.615729288490439,1.4558992787438116,2.0817582192702258,0.00980825587739875,0.00054477090027445,6.36650666609465,0.9034272304543245,0.773718088252023
